10-minutes-till-dawn	flanne
basket-swooshes	10x10games
basket-swooshes-plus	DParrot
basketball-clash	Mirra Games
basketball-frvr	FRVR Limited
basketball-io	MadPuffers
basketball-king	Mobirix
basketball-league	Yilmaz Kiymaz
basketball-legends-2020	MadPuffers
basketball-line	BuyHTML5
basketball-orbit	PINPIN TEAM
basketball-serial-shooter	Playtouch
basketball-skills	QKY Games
basketball-slam-dunk	Lime Soda Games
basketball-stars	MadPuffers 
basketball-superstars	Lazy Boy Developments
basketbros	Blue Wizard Digital
battle-wheels	Korigame Entertainment
battledudes-io	Sarunas Visockas
bearsus	ARF Game Studio
betrayal-io	End Game Interactive
bicycle-stunts-3d	Tech 3D Games Studios
big-shot-boxing	Bradley Erkkila
big-tall-small	Robert Alvarez
big-tower-tiny-square	Evil Objective
bike-trials-offroad-1	CapeOfGoodGames
bike-trials-winter-1	MadPuffers
bike-trials-winter-2	MadPuffers
biker-street	Famobi
bitlife	Candywriter
block-blast	Hungry Studio
block-tanks	Karate Fox Studios
block-the-pig	Sun Temple
block-world	2.0 Studios
blockpost	Skullcap Studios
blocky-blast-puzzle	Webnetic s. r. o.
blocky-cars	Full HP Ltd
blocky-snakes	RebelApes (Blocky Snakes)
blocky-trials	Cape of Good Games (Blocky Trials)
bloomgi-bloom	Bloomgi
bloons-td-2	Ninja Kiwi
bloons-td4	Ninja Kiwi
bloons-tower-defense-1	Ninja Kiwi
bloxd-io	Arthur
bloxorz	Robert Epps
blumgi-ball	Blumgi
blumgi-bloom	Blumgi
blumgi-castle	Blumgi
blumgi-paintball	Blumgi
blumgi-rocket	Blumgi
blumgi-slime	Blumgi
blumgi-soccer	Blumgi
bob-the-robber-2	Meow Beast
bob-the-robber-4	Kizi
bomb-it-7	Spil Games
booblehead-soccer-royale	MarketJS
bottle-flip-3d	Tastypill
bouncy-basketball	Dreamon Studios
bouncy-dunk	QkyGames
bouncy-woods	RoboWhale
bowling-stars	Inlogic
boxing-phsyics-2	CoolGames
boxing-random	RHM Interactive
boxrob	7Spot Games
boxrob2	7Spot Games
boxrob3	7Spot Games
braains-io	Jaunty Games
brain-for-monster-truck	Woog Enigma
brain-test-2-tricky-stories	Unico Studio
brain-test-3-tricky-quests	Unico Studio
brain-test-tricky-puzzles	Unico Studio
breaking-the-bank	PuffballsUnited
bubble-pop-adventures	Happy Games Co., Ltd.
bubble-shooter	Absolutist
bubble-trouble	Jay Armstrong
bubble-trouble-3	Jay Armstrong
build-crush	Ctrl4ltDel
bullet-force	Blayze Games
bullet-party-2	Bunbo Games
bumper-cars-soccer	C77 Entertainment
bunny-hop	Michael 
burger-bounty	Onrush Studio
burger-clicker	Pikpok
burnin-rubber	XformGames
burnin-rubber-5-xs	XformGames
burnout-drift-hilltop	BoneCracker Games
burnout-drift-seaport-max	BoneCracker Games
burrito-bison	Juicy Beast
burrito-bison-launcha-libre	Juicy Beast
bus-parking-3d	Riv3r
candy-crush-saga	King
candy-jump	Itzo Games
cannon-basketball	Oleg Kuzyk
cannon-basketball-2	Oleg Kuzyk
cannon-basketball-3	Oleg Kuzyk
cannon-basketball-4	Oleg Kuzyk
cannon-strike	SayGames
car-climb-racing	Gamebol (Car Climb Racing)
car-drift-racers-2	CarX Technologies (Car Drift Racers 2)
car-rush	Famobi
car-simulator-arena	Faramel Games
cars-simulator	Faramel Games
cars-thief	Faramel Games
cars-thief-tank-edition	Faramel Games
cartoon-mini-racing	RHM Interactive
case-clicker	Hawk Games
cat-gunner-super-zombie-shoot	Day137 Global
cat-trap	Mirchi Games
cats	ZeptoLab
checkers	Christopher Strachey
chicken-merge	Beedo Games
choppy-orc	Robert Alvarez
chrome-dino	Google
circlo0	Florian van Strien
circloo-2	Florian van Strien
city-bike-stunt-2	RHM Interactive
city-car-driving-stunt-master	BoneCracker Games
city-coach-bus-sim	GamePark
city-rider	Faramel Games
clicker-heroes	Playsaurus
climb-over-it	Playcore Studio
cluster-rush	TapTo
coffee-shop	Armor Games
color-road	Bigframes
color-road-2	Bigframes
color-switch	Color Switch Phoenix LLC
color-tunnel	Royale Gamers
color-tunnel-2	Exploration
connect-3	CodeThisLab
cookie-clicker	DashNet
craftmine	RedFoc
crazy-ball-3d	Anker
crazy-cars	Titus Interactive
crazy-tunel-3d	Royale Gamers
creative-kill-chamber	Eric Posas
cricket-world-cup	Nextwave Multimedia
crossy-road	Hipster Whale
crowd-run-3d	Ouaz Games Studio
cubefield	Yohoho Games
cubes-king	Inlogic Games
cubeshot-io	iO Games
cubito	Domas
cubito-mayhem	Domas
cupcakes-2048	Gabriele Cirulli
curve-ball-3d	Paul Neave
cut-the-rope	ZeptoLab
cut-the-rope-holiday	ZeptoLab
cut-the-rope-time-travel	ZeptoLab
cyber-cars-punk-racing	AYN Games
dark-ninja	Nevil Company
dark-runner	Dumadu Games
dashcraft-io	Ctrl4ltDel
dead-again	Jonas Olmstead and Jesper Rasmussen
deadshot-io	Mathew Matakovic
deal-or-no-deal	Cat Daddy Games
death-chase	GameTornado
death-chase-3	GameTornado
death-run-3d	KapoGames
deathcar-io	GameTornado
deepest-sword	GDBAY
deer-simulator	Gibier Games
demolition-derby-crash-racing	Destruction Crew
desert-car-racing-1	Contezero
detective-loupe-puzzle	10x10 Games
diebrary	Other Ocean Interactive
dino-chrome-io	Google
dinosaur-game	Google
dinosaurs-merge-master	SUN.STUDIO
dog-simulator-3d	CyberGoldfinch
doge-miner	rkn [DogeMiner.se]
doll-designer	Lion Studios
doodle-champion-island	Google (Doodle Team) & STUDIO4°C
doodle-jump	Lima Sky
doom-2	id Software
down-the-hill	SgLib Games
dragon-world	FMGames
draw-the-hill	Stelennnn
dreadhead-parkour	Gametornado
drift-boss	MarketJS
drift-dudes	Famobi
drift-hunters	Ilya Kinkladze
drive-mad	Martin Magni
drunken-duel	RHM Interactive
duck-life	Wix Games
duck-life-2	Wix Games
duck-life-3	Wix Games
duck-life-4	Wix Games
duke-dashington-remastered	Adventure Islands
dune-game	Voodoo
dunkbrush	BuyHTML5
dunker	Colin Lane
dunkers-2	Playback Studio
e-scooter	Famobi
eagle-ride	Aron Sommer
earn-to-die	Toffee Games
eggy-car	Beedo Games
elastic-man	Adult Swim
electron-dash	Blue Wizard Digital
eliza-mall-mania	Idea Studios
endless-truck	RedFoc
endless-tunnel	TapTap
endless-war-3	Vitaly
energy	Infinity Games
eparkour-io	Infinity Games
epic-basketball	Shared Dreams
escape-road	AZ Games
escaping-the-prison	PuffballsUnited
eugenes-life	Gametornado
ev-io	Addicting Games
evo-city-driving	Ovidiu Pop
extreme-car-driving-simulator	AxesInMotion
extreme-car-parking	GameTornado
extreme-off-road-cars	Vitaly
extreme-off-road-cars-3-cargo	Vitaly
extreme-pamplona	Deconstructium
extremeoffroadcars2	Vitaly
factory-balls-forever	Bart Bonte
fairy-dressup	Entrevero Games
fall-guys-ultimate-knockout	Mediatonic
falling-fred	Dedalord
fancy-pants	Brad Borne
fancy-pants-2	Brad Borne
fancy-pants-3	Brad Borne
farm-match-seasons	Softgames
ferge-io	Ferge Games
fightz-io	Fightz.io
fire-truck-rescue	Yateland
fireboy-and-watergirl-2	Oslo Albet
fireboy-and-watergirl-3	Oslo Albet
fireboy-and-watergirl-4	Oslo Albet
fireboy-and-watergirl-5	Oslo Albet
fireboy-and-watergirl-6	Oslo Albet
fireboy-and-watergirl-forest-temple	Oslo Albet
fish-eat-fish	MOBIBRAIN TECHNOLOGY PTE. LTD.
fishing-and-lines	 Panda Pasha Games
fishing-frenzy	Uncharted
five-nights-at-freddies-2	Scott Cawthon
five-nights-at-freddys	Scott Cawthon
five-nights-at-freddys-3	Scott Cawthon
flappy-bird	.GEARS Studios
flappy-dunk	Voodoo
flash-tetris	Paul Neave
fleeing-the-complex	PuffballsUnited
flip-bottle	BPTop
flipper-dunk-3d	Armath
flying-car-simulator	Blue Axis
fnaf-shooter	GoGoMan
fnafsl	Scott Cawthon
fnf	Ninjamuffin99
foot-chinko	Ravalmatic
football-legends	MadPuffers
football-masters	MadPuffers
football-strike	Miniclip
forged-alliance-forever	FAForever Association
fortnite	Epic Games
fortnite-made-in-china	Epic Games
fortride-open-world	Brain Software
fortz	Shmupy
fred-running	Dedalord
free-kick-classic	Famobi
free-kick-shooter	Stormbringer Studios
free-the-key	Functu
friday-night-funkin	The Funkin' Crew Inc.
funny-shooter-2	GoGoMan
funny-shooter-destroy-all	GoGoMan
furious-racing-3d	Hammerhead Studio
g-switch-3	Serius Games
galaga	Namco
gartic-io	Onrizon Social Games
gartic-phone-io	Onrizon Social Games
geodash	RobTop Games
geodash-2	Robert Topala (RobTop Games)
geometry-monster-shell-shockers	Blue Wizard Digital
get-on-top	Bennett Foddy
getaway-shootout	New Eich Games
getting-over-it	Bennett Foddy
gigga-io	GIGGA.IO
gladihoppers	Dreamon Studios
go-kart-go-ultra	Xform Games
gobble	Martin Magni
gobdun	Venturous
gold-digger-frvr	FRVR Limited
golf-champions	Ximi Studio
golfinity	NimbleBit
google-feud	Justin Hook
google-snake	Google
gp-moto-racing	VitalityGames
gp-moto-racing-3	VitalityGames
grand-prix-hero	b10b
grand-vegas-simulator	AM Techno Inc.
granny	DVloper
grapple-grip	Robert Alvarez
gravity-soccer	POMU Games
grindcraft	Playsaurus
grindcraft-remastered	Playsaurus
gswitch	Serius Games
gswitch-2	Serius Games
gswitch-4	Serius Games
guess-the-kitty	Agame
gulper-io	tonsomar
gun-blood	Wolfcom (Andrew Wolf)
gun-fest	Rollic Games
gun-mayhem	Kevin Gu
gun-mayhem-2	Kevin Gu
gun-mayhem-3	Kevin Gu
gun-mayhem-redux	AwesomePixels
gun-spin	Estoty
halloween-lonely-road-racing	VitalityGames
halloween-skeleton-smash	VitalityGames
hammer-2	Xform Games
hanger	Karuva
hanger-2	Karuva
happy-fishing	LydGameStudio
happy-room	Mana Potion Studios
happy-wheels	Fancy Force
head-basketball	D&D Dream
head-soccer-2023	D&D Dream Corp
heads-arena-soccer-all-stars	Poki Studios
heart-star-html5	Adventure Islands
hexanaut-io	Clockwork Labs
hexbee-merger	TuuT
hextris	Logan Engstrom
hide-and-smash	Butcher's Games
highway-bike-simulator	Brainsoftware
highway-racer-3d	Momend Yazılım
highway-rider-extreme	Famobi
highway-traffic	leading studio 
hill-climb-racing	Fingersoft
hill-climb-racing-2	Fingersoft
hills-of-steel	Superplus Games
hole-io	Voodoo
hoop-world-3d	Tapped
hop-and-pop-it	Infinity Games
horse-shoeing	Linder Games
horse-simulator-3d	CyberGoldfinch
house-of-hazards	NewEichGames
hover-racer	ToyBox Games
hover-racer-drive	ManyBits
icy-purple-head-2	Mini Duck Games
icy-purple-head-3	Mini Duck Games
icy-purple-head-superslide	Mini Duck Games
icycle	Damp Gnat
idle-ants	Madbox
idle-breakout	Kodiqi
idle-dice	Luts91
idle-digging-tycoon	ZPLAY
idle-light-city	AppQuantum
idle-lumber-inc	Game Veterans
idle-miner	Kolibri Games
idle-mining-empire	MarketJS
idle-restaurants	MarketJS
idle-startup-tycoon	MarketJS
idle-tree-city	NoPowerup
impossible-monster-truck	AppsZoo
impossible-tic-tac-toe	KasSanity
indian-truck	AppsZoo
indian-truck-simulator-3d	VitalityGames
indian-uphill-bus-simulator-3d	VitalityGames
infiltrating-the-airship	PuffballsUnited
infinite-soccer	b00m
infinity-loop	Infinity Games
interactive-buddy	Shockwave Sound
iron-snout	SnoutUp
iron-snout-2	SnoutUp
jelly-truck	GameTornado
jet-boy	08jack
jetpack-joyride	Halfbrick Studios
jewel-shuffle	Arkadium
jewels-blitz-5	Softgames
johnny-revenge	SayGames
johnny-trigger	SayGames
johnny-upgrade	Gameshot
jollyworld	Terminarch Games
jump-up-3d	Funtory Studio
jump-up-3d-mini-basketball	Funtory Studio
jumping-shell	Robert Alvarez
jungle-td	Beedo Games
just-fall-lol	JustPlay.lol
kart-fight-io	Homa Games
kart-race-3d	SCG Studios
kart-wars	Blue Wizard Digital
kawaii-dressup	Entrevero Games
kirka-io	GP Studios
kix-dream-soccer	Kix Sports
knight-hero-adventure	ALMA Games
krunker-io	Yendis Entertainment
leader-strike	Beedo Games
learn-to-fly	Lightbringer Games
lemonade-stand	Bob Jamison
level-devil	Unept
life-choices-life-simulator	Unico Studio
life-the-game	Ohmaigawd
linebacker-alley-2	Glowmonkey
lines-to-fill	QkyGames
lol-shot-io	Big Boss Dolphin
lolbeans-io	Exodragon
ludo-hero	Qila Games
ludo-multiplayer	Gametion Technologies Pvt Ltd
lurkers-io	Bergice Productions
mad-day	Smokoko
mad-gunz	Mad Pixel LTD
mad-shark	Allumer
mad-truck-challenge	Smokoko
mad-truck-challenge-special	Smokoko
madalin-cars-multiplayer	Madalin Stanciu
madalin-stunt-cars-2	Madalin Stanciu
madalin-stunt-cars-3	Madalin Stanciu
magikmon	Ravalmatic
make-up-runner	Egor Ponomarev 
marble-dash	707 Interactive
marbles-sorting	Marbles Sorting
mario	Nintendo EPD
masked-forces	FreezeNova
master-chess	Codethislab
maze-path-of-light	Infinity Games
maze-planet-3d	The_Sly_Niko
mega-ramp-car-stunts	PEKA
merc-zone	Blue Wizard Digital
merge-alphabet	Blue Wizard Digital
merge-cakes	Ravalmatic
merge-cyber-racers	TinyDobbins
merge-harvest	Bonanza Games
merge-master	Homa Games
merge-rainbow	hyper casual mobile game studios
merge-round-racers	TinyDobbins
microwars	MarketJS
minecraft-1-5-2	Mojang Studios
minecraft-1-8-8	Mojang Studios
minecraft-builder	Mojang Studios
minecraft-case-simulator	Gidra Games
minecraft-classic	Mojang Studios
minesweeper	Microsoft
minibattles	Shared Dreams Studios
mob-city	Extreme Games
money-movers	Meow Beast
money-movers-2	Meow Beast
money-movers-3	Meow Beast
money-roller	Homa Games
money-rush	Rollic Games
monkey-mart	TinyDobbins
monster-tracks	Martin Magni
monster-truck-destroyer	GameTornado
monster-truck-vs-zombie	Beedo Games
monsters-wheels-special	Smokoko
moomoo-io-sandbox	Sidney de Vries
mosaic-puzzle-art	GunjanApps Studios
moto-maniac	IriySoft
moto-maniac-2	IriySoft
moto-maniac-3	IriySoft
moto-road-rash-3d	VitalityGames
moto-trial-racing-2	VitalityGames
moto-x3m	MadPuffers
moto-x3m-2	MadPuffers
moto-x3m-3-pool-party	MadPuffers
moto-x3m-4-winter	MadPuffers
moto-x3m-spooky-land	MadPuffers
mr-bullet	Lion Studios
murder	Studio Seufz
mutazone	Beedo Games
my-pony-my-little-race	Beedo Games
n-gon	Toonvuerink
nail-stack	Rollic Games
neon-biker	Famobi
neon-racer	Iful GS
neon-war	QkyGames
ninja-cat-exploit	the Microsoft Edge team
noob-basketball-clicker	Efren
noob-drive	Vanade
noob-steve	Platonov
noob-steve-parkour	Platonov
off-road-rain-cargo-simulator	VitalityGames
offroad-forest-racing	Mike Games
offroad-ultimate	Sir Studios
offroader-v5	PacoGames
onion-boy	NoPowerup
only-up	SCKR Games
only-up-2	SKYZ
only-up-3d-parkour	Craft Game World
ooze-odyssey	Artastis
orbital-survival	Beedo Games
ovo	Dedra Games
ovo-2-144-version	Dedra Games
ovo-3-dimensions	Dedra Games
pac-man	Namco
pacman-remake	NOW PRODUCTION Co., Ltd.
panda-bubble-shooter	LAK Games
panda-simulator-3d	CyberGoldfinch
papas-burgeria	Flipline Studios
papas-freezeria	Flipline Studios
papas-pizzaria	Flipline Studios
paper-2-io	Voodoo
paper-fighter-3d	RHM Interactive
paper-io-2	Voodoo
park-out	Okashi Games
parking-fury	Night Steed Games
parking-fury-2	Night Steed Games
parking-fury-3	Night Steed Games
parking-fury-3d	Night Steed Games
parking-fury-3d-bounty-hunter	Night Steed Games
parking-fury-3d-night-thief	Night Steed Games
parkour-block-3d	Poly Games
parkour-race	Madbox
penalty-kick	William McCrum
penalty-shooters-2	DParrot
penalty-shooters-3	DParrot
perfect-peel	FOMO OYUN
petz-lol	Lee Zak
ping-pong-html5	MarketJS
pixel-gun-3d	Lightmap
pixel-gun-apocalypse-2	Mentolatux
pixel-gun-survival	Mentolatux
pixel-smash-duel	RHM Interactive
pixwars-2	Mentolatux
pizza-tower	Tour de Pizza
plactions	Robert Alvarez
poly-track	Kodub
pool-club	Ravalmatic
poop-clicker-3	Hyptod
poor-bunny	Adventure Islands
pop-it-master	RadPirat Games
poppy-glamrock	Mob Entertainment
pou	Paul Salameh
power-badminton	MarketJS
stick-merge	TinyDobbins
stick-merge-halloween	TinyDobbins
stickman-fighter-2	Playtouch
stickman-fighter-epic-battle	Playtouch
stickman-fighter-epic-battle-2	Playtouch
stickman-fighter-mega-brawl	Playtouch
stickman-golf	Noodlecake Games
stickman-hook	Madbox
stickman-ragdoll-crash-fun	Playgama
stickman-run	Shima
stickman-school-run	Playtouch
stock-car-hero	b10b
street-ball-jam	Maksim Eliseenko
street-ball-star	Droid Dev Solutions
striker-dummies	Vardan Aleksanyan
stunt-biker-3d	GT Action Games
stunt-car-challenge-3	Hyperkani
stupid-zombies	GameResort
subway-princess-runner	IvyMobile
subway-runner	Micoro
subway-surfers	SYBO Games
subway-surfers-bali	SYBO Games
subway-surfers-beijing	SYBO Games
subway-surfers-havana	SYBO Games
subway-surfers-hawaii	SYBO Games
subway-surfers-hongkong	SYBO Games
subway-surfers-houston	SYBO Games
subway-surfers-monaco	SYBO Games
subway-surfers-mumbai	SYBO Games
subway-surfers-new-orleans	SYBO Games
subway-surfers-new-york	SYBO Games
subway-surfers-san-francisco	SYBO Games
subway-surfers-singapore	SYBO Games
subway-surfers-tokyo	SYBO Games
subway-surfers-venice	SYBO Games
subway-surfers-winter-holiday	SYBO Games
subway-surfers-zurich	SYBO Games
sugar-shock-io	Blue Wizard Digital
suika	Aladdin X
super-bike-the-champion	Barnzmu
super-falling-fred	Dedalord
super-fowlst	CatCup Games
super-hexbee-merger	TuuT
super-hot	SUPERHOT Team
super-liquid-soccer	Punyrobot
super-mario-64	Nintendo EAD
super-mario-bros	Nintendo EAD
super-mx-the-champion	Barnzmu
super-racing-gt-drag-pro	Playtouch
super-santa-kicker	THQ
super-slope-game	Kiz10
super-star-car	Barnzmu
super-tunnel-rush	Deer Cat
superbattle-2	Kokos Games
superbike-hero	Puffy Thumb
surviv-io	Justin Kim, Nick Clark
survival-race	Wixel Studios
survivor-in-rainbow-monster	Dmobin Studio
sushi-party	TermiNarach Games
swatforce-vs-terrorists	Playtouch
swingo	Blumgi
swipe-fighter-heroes	Gamerce ApS
table-tennis-ultimate-tournament	Playtouch
tag	WeLoPlay
taming-io	LapaMuave
tank-trouble	Gumboy
tank-trouble-2	Gumboy
tanuki-sunset	Rewind Games
tap-tap-shots	Maximiliano Demonte
temple-of-boom	Colin Lane Games
temple-run	Imangi Studios
temple-run-2	Imangi Studios
temple-run-2-frozen-shadows	Imangi Studios
temple-run-2-holi-festival	Imangi Studios
temple-run-2-jungle-fall	Imangi Studios
tennis-masters	Madpuffers
tetris	Alexey Pajitnov
tetris-flash	TOSE
the-backrooms-3d	Pie On A Plate Productions
the-bowling-club	707 Interactive
the-final-earth	 Florian van Strien
the-final-earth-2	Florian van Strien
the-fish-master	Voodoo
the-heist	Johnny Two Shoes
the-impossible-quiz	Splapp me do
the-impossible-quiz-2	Splapp me do
the-little-giant	Little Giant World
the-spear-stickman	Maxim Karpenko
the-speed-ninja	PLAYTOUCH
there-is-no-game	Draw Me A Pixel
three-goblets	BitByBit
thumb-fighter	Avix Games
thumb-fighter-christmas	Avix Games
tictactoe	AHR Developers
tiger-simulator-3d	CyberGoldfinch
tile-valley	Spearmint Games
timber-man	Digital Melody
time-clones	Robert Alvarez
time-shooter-2	GoGoMan
time-shooter-3	GoGoMan
tiny-cars	Homa Games
tiny-fishing	Mad Buffer
tiny-town-racing	Locomil
tinytownracing	Locomil
tomb-of-the-mask	Happymagenta
tomb-of-the-mask-color	Playgendary Limited
tomb-runner	Inlogic Software s.r.o.
toon-off	Martian Games
top-speed-3d	Faramel Games
top-speed-racing-3d	Royale Gamers
tower-crash-3d	Famobi
tower-defense-2d	AHR Developers
tower-of-destiny	DrDerico
traffic-control	AHR Developers
traffic-jam-3d	Royale Gamers
traffic-mania	MadnessCODE
traffic-rider	SKGames
traffic-run	Geisha Tokyo Inc.
traffic-rush	Donut Games
traffic-tom	Famobi
tribals-io	OnRush Studio
tricks	AHR Developers
tricksplit	Cellz.io LLC
truck-traffic	AHR Developers
truck-trials	Wilhelmsen Studios
tube-clicker	Phaser
tube-jumpers	Michael Eichler
tunnel-rush	Deer Cat Games
tunnel-rush-2	Deer Cat Games
turbo-moto-racer	7Seas Entertainment Limited
turn-turn	AHR Developers
two-ball-3d	Omegagames
two-ball-3d-dark	Omegagames
two-neon-boxes	AHR Developers
two-tunnel-3d	Casmo games
ultimate-car-arena	Brain Software
ultimate-car-driving	Sir Studios
ultimate-off-road	AHR Developers
ultimate-offroad-cars-2	Brain Software
unicycle-hero	Unept
uno	Merle Robbins
uno-4-colors-multiplayer	Code This Lab srl
venge-io	Vermillion Studios
vex-3	Amazing Adam
vex-4	Amazing Adam
vex-5	Amazing Adam
vex-6	Amazing Adam
vex-7	Amazing Adam
vex-8	Amazing Adam
volley-random	Bilge Kaan
volleyball-challenge	Simplicity Games
voxiom-io	Voxiom.io Team
war-brokers-io	Trebuchet Entertainment
war-of-sticks	Shoom Games
water-color-sort	AHR Developers
we-become-what-we-behold	Nicky Case
wheelie-bike	Kimmo Factor
wheely-2	Pegas Games
wheely-3	Pegas Games
wheely-4	Pegas Games
wheely-5	Pegas Games
wheely-6	Pegas Games
wheely-7	Pegas Games
wheely-8	Pegas Games
where-is-my-cat	SLAB Games
who-is	Unico Studio
wizard-mike	Major Games
wood-blocks-3d	Infinity Games
word-city-crossed	Unico Studio
word-city-uncrossed	Unico Studio
word-slide	PLAYTOUCH
wordle-infinite	AHR Developers
wordle-plus	AHR Developers
wordle-unlimited	AHR Developers
words-search-classic-edition	PLAYTOUCH
worlds-hardest-game	Snubby Land
worlds-hardest-game-2	Snubby Land
worlds-hardest-game-3	Snubby Land
wormate-io	Oleksandr Godoba
wrassling	Colin Lane Games
wrestle-bros-io	Blue Wizard Digital
x-trial-racing	QKY Games
yohoho-io	Exodice
zombie-derby-pixel-survival	Brinemedia
zombie-shooter-2d	AHR Developers
zombocalypse-shooter	iJohnF
zombs-royale-io	End Game Interactive
zuck-vs-musk-techbro-beatdown	Blue Wizard Digital
